WRONG_SUM! 31/07 14:17:35 SUM: 126  	[85, 255, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:35 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:35 SUM: 66  	[233, 224, 255, 254, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:17:35 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:35 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:17:35 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:35 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:35 SUM: 149  	[191, 13, 255, 145, 255, 143, 255, 163, 191, 209, 96, 0, 213, 175, 192, 13, 0, 254, 89, 255, 77, 191, 55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:17:35 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:17:35 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:35 SUM: 90  	[31, 161, 171, 239, 0]
WRONG_SUM! 31/07 14:17:36 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:36 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:36 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:36 SUM: 118  	[233, 224, 191, 254, 254, 229, 13, 0]
WRONG_SUM! 31/07 14:17:36 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:36 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:17:36 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:36 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:36 SUM: 233  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 191, 209, 96, 0, 213, 175, 192, 13, 0, 89, 252, 77, 191, 55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:17:36 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:36 SUM: 221  	[85, 107, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:36 SUM: 55  	[252, 161, 171, 239, 0]
WRONG_SUM! 31/07 14:17:37 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:37 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:37 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:37 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:37 SUM: 154  	[254, 175, 224, 13, 0]
WRONG_SUM! 31/07 14:17:37 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:37 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:37 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:37 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:37 SUM: 170  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0, 89, 255, 77, 191, 55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:17:37 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:17:37 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:37 SUM: 90  	[31, 161, 171, 239, 0]
WRONG_SUM! 31/07 14:17:38 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:38 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:38 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:38 SUM: 233  	[233, 224]
