WRONG_SUM! 03/08 13:08:46 SUM: 256  	[10]
WRONG_SUM! 03/08 13:08:49 SUM: 9  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 1, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 213, 1, 68, 136, 49, 1, 151, 63, 255, 84, 0, 168, 24, 1, 92, 128, 91, 0, 92, 13, 190, 40, 10]
WRONG_SUM! 03/08 13:08:49 SUM: 8  	[204, 128, 91, 0, 92, 13, 190, 42, 10]
WRONG_SUM! 03/08 13:08:49 SUM: 8  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 254, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 11, 190, 46, 10]
WRONG_SUM! 03/08 13:08:49 SUM: 5  	[200, 128, 91, 0, 92, 12, 190, 50, 10]
WRONG_SUM! 03/08 13:08:49 SUM: 14  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 247, 128, 91, 0, 92, 12, 190, 46, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 2  	[199, 136, 49, 1, 151, 63, 255, 84, 0, 168, 19, 1, 97, 128, 91, 0, 92, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 22  	[190, 44, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 12  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 1, 128, 91, 0, 92, 12, 190, 40, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 14  	[205, 128, 91, 0, 92, 12, 190, 36, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 9  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 7, 128, 71, 0, 83, 0, 89, 96, 100, 63, 102, 0, 36, 128, 91, 0, 92, 12, 190, 37, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 8  	[208, 128, 91, 0, 92, 14, 190, 37, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 13  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 4, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 214, 1, 67, 136, 49, 1, 151, 63, 255, 84, 0, 168, 22, 1, 94, 128, 91, 0, 92, 12, 190, 36, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 7  	[209, 128, 91, 0, 92, 13, 190, 38, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 9  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 2, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 13, 190, 39, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 12  	[205, 128, 91, 0, 92, 11, 190, 39, 10]
WRONG_SUM! 03/08 13:08:50 SUM: 13  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 3, 128, 91, 0, 92, 13, 190, 34, 10]
WRONG_SUM! 03/08 13:08:51 SUM: 15  	[210, 136, 49, 1, 151, 63, 255, 84, 0, 168, 26, 1, 90, 128, 91, 0, 92, 12, 190, 30, 10]
STATUS_OK 03/08 13:08:51 SUM: 10  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 11, 128, 91, 0, 92, 11, 190, 31, 10]
WRONG_SUM! 03/08 13:08:51 SUM: 3  	[215, 128, 91, 0, 92, 12, 190, 37, 10]
WRONG_SUM! 03/08 13:08:51 SUM: 6  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 5, 128, 71, 0, 83, 0, 89, 96, 100, 63, 102, 0, 36, 128, 91, 0, 92, 11, 190, 42, 10]
WRONG_SUM! 03/08 13:08:51 SUM: 6  	[204, 128, 91, 0, 92, 12, 190, 45, 10]
WRONG_SUM! 03/08 13:08:51 SUM: 5  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 253, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 215, 1, 66, 136, 49, 1, 151, 63, 255, 84, 0, 168, 22, 1, 94, 128, 91, 0, 92, 14, 190, 48, 10]
STATUS_OK 03/08 13:08:51 SUM: 10  	[195, 128, 91, 0, 92, 12, 190, 50, 10]
WRONG_SUM! 03/08 13:08:51 SUM: 9  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 248, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 12, 190, 51, 10]
WRONG_SUM! 03/08 13:08:51 SUM: 11  	[194, 128, 91, 0, 92, 13, 190, 49, 10]
WRONG_SUM! 03/08 13:08:51 SUM: 12  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 248, 128, 91, 0, 92, 12, 190, 48, 10]
STATUS_OK 03/08 13:08:52 SUM: 10  	[197, 136, 49, 1, 151, 63, 255, 84, 0, 168, 19, 1, 97, 128, 91, 0, 92, 12, 190, 48, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 4  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 250, 128, 91, 0, 92, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 16  	[190, 50, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 11  	[197, 128, 91, 0, 92, 11, 190, 48, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 12  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 251, 128, 71, 0, 83, 0, 89, 96, 100, 66, 102, 0, 33, 128, 91, 0, 92, 11, 190, 46, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 1  	[200, 128, 91, 0, 92, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 21  	[190, 45, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 13  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 254, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 215, 1, 66, 136, 49, 1, 151, 63, 255, 84, 0, 168, 26, 1, 90, 128, 91, 0, 92, 11, 190, 41, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 13  	[205, 128, 91, 0, 92, 11, 190, 38, 10]
